@relation 'All_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute chord_id numeric
@attribute chord_type {5,6,7,9,mayor,m}
@attribute note2chord numeric
@attribute isChordN {n,y}
@attribute mtr {s,ss,w,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
8,0.997917,7,62,80,6.857144,0.855357,3,0.997917,0.855357,0.997917,0.855357,0,0,0,2,3,-3,5,1,5,B7,11,7,9,n,ww,P,IP,VP,70,m,1.048034
8,0.997917,5,67,80,6.857144,0.855357,3,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,7,3,-5,4,1,0,B7,11,7,4,y,ww,IP,VP,VR,70,m,0.948034
9,0.997917,4,71,80,7.714287,0.855357,3,0.997917,0.855357,0.497917,0.426786,-0.857143,0.857143,1,11,0,-4,-3,1,4,E,4,mayor,7,n,ww,VP,VR,IR,70,m,1.085534
10,0.497917,3,68,80,8.57143,0.426786,3,0.997917,0.855357,0.997917,0.855357,-0.857143,0,2,8,0,3,-14,1,1,E,4,mayor,4,n,ww,VR,IR,P,70,m,1.085534
10,0.997917,4,54,80,8.57143,0.855357,3,0.497917,0.426786,0.997917,0.855357,0,0,2,6,2,14,6,1,1,E,4,mayor,2,n,ww,IR,P,P,70,m,1.010534
10,0.997917,3,60,80,8.57143,0.855357,3,0.997917,0.855357,0.997917,0.855357,0,0,2,0,2,-6,4,1,7,E,4,mayor,4,n,ww,P,P,P,70,m,0.960534
10,0.997917,6,64,80,8.57143,0.855357,3,0.997917,0.855357,0.497917,0.426786,0,0.428572,2,4,2,-4,5,1,3,E,4,mayor,0,n,ww,P,P,P,70,m,1.285534
10.5,0.497917,5,69,80,9.000002,0.426786,3,0.997917,0.855357,0.497917,0.426786,-0.428572,0.428572,2.5,9,0,-5,2,1,2,E,4,mayor,5,n,ww,P,P,SB,70,m,1.060534
11,0.497917,4,71,80,9.428573,0.426786,3,0.497917,0.426786,0.497917,0.426786,-0.428572,0.428572,3,11,0,-2,1,1,4,A7,9,7,2,n,ww,P,SB,VR,70,m,1.348034
11.5,0.497917,3,72,80,9.857145,0.426786,3,0.497917,0.426786,0.997917,0.855357,-0.428572,0.428572,3.5,0,0,-1,2,1,7,A7,9,7,9,n,ww,SB,VR,IR,70,m,1.348034
12,0.997917,2,74,80,10.285716,0.855357,4,0.497917,0.426786,1.997917,1.7125,-0.428572,0,0,2,3,-2,-15,1,5,C6,0,6,2,n,ww,VR,IR,VP,70,m,0.873034
12,1.997917,5,59,80,10.285716,1.7125,4,0.997917,0.855357,1.997917,1.7125,0,0,0,11,4,15,6,1,4,C6,0,6,11,n,ww,IR,VP,VR,70,m,0.910534
12,1.997917,6,65,80,10.285716,1.7125,4,1.997917,1.7125,1.997917,1.7125,0,0,0,5,4,-6,4,1,2,C6,0,6,5,n,ww,VP,VR,VR,70,m,0.973034
12,1.997917,7,69,80,10.285716,1.7125,4,1.997917,1.7125,0.997917,0.855357,0,0.857143,0,9,4,-4,7,1,2,C6,0,6,9,y,ww,VR,VR,IR,70,m,1.023034
13,0.997917,6,76,80,11.142859,0.855357,4,1.997917,1.7125,1.997917,1.7125,-0.857143,0.857143,1,4,3,-7,-20,1,3,B7,11,7,7,y,ww,VR,IR,P,70,f,0.910534
14,1.997917,5,56,80,12.000002,1.7125,4,0.997917,0.855357,1.997917,1.7125,-0.857143,0,2,8,4,20,6,1,1,B7,11,7,3,n,ww,IR,P,SB,70,i,0.898034
14,1.997917,4,62,80,12.000002,1.7125,4,1.997917,1.7125,1.997917,1.7125,0,0,2,2,4,-6,4,1,5,B7,11,7,9,n,ww,P,SB,R,70,m,0.885534
14,1.997917,3,66,80,12.000002,1.7125,4,1.997917,1.7125,1.997917,1.7125,0,0,2,6,4,-4,5,1,1,B7,11,7,5,n,ww,SB,R,VP,70,m,0.885534
14,1.997917,2,71,80,12.000002,1.7125,4,1.997917,1.7125,1.497917,1.283929,0,0.428572,2,11,4,-5,-31,1,4,B7,11,7,0,y,ww,R,VP,IR,70,f,0.935534
14.5,1.497917,3,40,80,12.428574,1.283929,4,1.997917,1.7125,1.997917,1.7125,-0.428572,1.285714,2.5,4,4,31,5,1,3,B7,11,7,7,y,ww,VP,IR,IP,70,i,0.998034
16,1.997917,2,45,80,13.714288,1.7125,5,1.497917,1.283929,0.997917,0.855357,-1.285714,0.857143,0,9,2,-5,26,1,2,E7,4,7,5,n,ww,IR,IP,P,70,f,0.998034
17,0.997917,4,71,80,14.571431,0.855357,5,1.997917,1.7125,0.997917,0.855357,-0.857143,0,1,11,2,-26,3,1,4,A7,9,7,2,n,ww,IP,P,IP,70,i,1.085534
17,0.997917,3,74,80,14.571431,0.855357,5,0.997917,0.855357,0.497917,0.426786,0,0.857143,1,2,2,-3,-2,1,5,A7,9,7,7,y,ww,P,IP,IP,70,f,1.085534
18,0.497917,4,72,80,15.428574,0.426786,5,0.997917,0.855357,0.497917,0.426786,-0.857143,0,2,0,0,2,-3,1,7,A7,9,7,9,n,s,IP,IP,IP,70,i,1.085534
18,0.497917,2,69,80,15.428574,0.426786,5,0.497917,0.426786,0.497917,0.426786,0,0.428572,2,9,0,3,2,1,2,A7,9,7,0,y,s,IP,IP,IP,70,m,0.923034
18.5,0.497917,4,71,80,15.857146,0.426786,5,0.497917,0.426786,0.497917,0.426786,-0.428572,0,2.5,11,0,-2,-4,1,4,F7,5,7,6,n,ww,IP,IP,IP,70,m,1.073034
18.5,0.497917,3,67,80,15.857146,0.426786,5,0.497917,0.426786,0.497917,0.426786,0,0.428572,2.5,7,0,4,2,1,0,F7,5,7,2,n,ww,IP,IP,IP,70,m,1.035534
19,0.497917,2,69,80,16.285717,0.426786,5,0.497917,0.426786,0.497917,0.426786,-0.428572,0,3,9,0,-2,-4,1,2,F7,5,7,4,y,ww,IP,IP,VP,70,m,1.073034
19,0.497917,6,65,80,16.285717,0.426786,5,0.497917,0.426786,0.497917,0.426786,0,0.428572,3,5,0,4,2,1,2,F7,5,7,0,y,ww,IP,VP,VR,70,m,1.160534
19.5,0.497917,3,67,80,16.714289,0.426786,5,0.497917,0.426786,0.497917,0.426786,-0.428572,0,3.5,7,0,-2,-4,1,0,F7,5,7,2,n,ww,VP,VR,IR,70,m,1.023034
19.5,0.497917,2,63,80,16.714289,0.426786,5,0.497917,0.426786,0.997917,0.855357,0,0.428572,3.5,3,0,4,-16,1,4,F7,5,7,2,n,ww,VR,IR,P,70,m,1.060534
20,0.997917,4,47,80,17.14286,0.855357,6,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,11,4,16,10,1,4,F7,5,7,6,n,ww,IR,P,P,70,m,1.260534
20,0.997917,6,57,80,17.14286,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0,0,9,4,-10,5,1,2,F7,5,7,4,y,ww,P,P,IP,70,m,0.935534
20,0.997917,2,62,80,17.14286,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0,0,2,4,-5,4,1,5,F7,5,7,3,n,ww,P,IP,VP,70,m,1.085534
20,0.997917,5,66,80,17.14286,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0,0,6,4,-4,5,1,1,F7,5,7,1,n,ww,IP,VP,VR,70,m,1.023034
20,0.997917,5,71,80,17.14286,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,11,4,-5,-2,1,4,F7,5,7,6,n,ww,VP,VR,IR,70,m,0.998034
21,0.997917,3,69,80,18.000003,0.855357,6,0.997917,0.855357,0.997917,0.855357,-0.857143,0.857143,1,9,0,2,-23,1,2,B7,11,7,2,n,ww,VR,IR,P,70,f,0.998034
22,0.997917,2,46,80,18.857146,0.855357,6,0.997917,0.855357,0.997917,0.855357,-0.857143,0,2,10,3,23,10,1,3,B7,11,7,1,n,ww,IR,P,IP,70,i,1.023034
22,0.997917,3,56,80,18.857146,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0,2,8,3,-10,5,1,1,B7,11,7,3,n,ww,P,IP,VP,70,m,1.085534
22,0.997917,4,61,80,18.857146,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0,2,1,3,-5,4,1,6,B7,11,7,10,y,ww,IP,VP,VR,70,m,1.085534
22,0.997917,3,65,80,18.857146,0.855357,6,0.997917,0.855357,0.997917,0.855357,0,0.857143,2,5,3,-4,-2,1,2,B7,11,7,6,n,ww,VP,VR,IR,70,m,1.035534
23,0.997917,3,63,80,19.714289,0.855357,6,0.997917,0.855357,1.997917,1.7125,-0.857143,0.857143,3,3,0,2,-18,1,4,Eb7,4,7,1,n,ww,VR,IR,P,70,f,1.035534
24,1.997917,4,45,80,20.571432,1.7125,7,0.997917,0.855357,1.997917,1.7125,-0.857143,0,0,9,3,18,10,1,2,Eb7,4,7,5,n,ww,IR,P,SB,70,i,1.110534
24,1.997917,3,55,80,20.571432,1.7125,7,1.997917,1.7125,1.997917,1.7125,0,0,0,7,3,-10,5,1,0,Eb7,4,7,3,n,ww,P,SB,VR,70,m,1.110534
24,1.997917,4,60,80,20.571432,1.7125,7,1.997917,1.7125,1.997917,1.7125,0,0,0,0,3,-5,2,1,7,Eb7,4,7,4,y,ww,SB,VR,SA,70,m,0.960534
24,1.997917,7,62,80,20.571432,1.7125,7,1.997917,1.7125,1.997917,1.7125,0,1.714286,0,2,3,-2,-18,1,5,Eb7,4,7,2,n,ww,VR,SA,SA,70,f,0.910534
26,1.997917,7,44,80,22.285718,1.7125,7,1.997917,1.7125,1.997917,1.7125,-1.714286,0,2,8,3,18,7,1,1,A7,9,7,1,n,ww,SA,SA,VR,70,i,1.060534
26,1.997917,5,51,80,22.285718,1.7125,7,1.997917,1.7125,1.997917,1.7125,0,0,2,3,3,-7,9,1,4,A7,9,7,6,n,ww,SA,VR,VR,70,m,0.910534
26,1.997917,4,60,80,22.285718,1.7125,7,1.997917,1.7125,1.997917,1.7125,0,0,2,0,3,-9,6,1,7,A7,9,7,9,n,ww,VR,VR,IR,70,m,0.923034
26,1.997917,3,66,80,22.285718,1.7125,7,1.997917,1.7125,0.997917,0.855357,0,1.714286,2,6,3,-6,-19,1,1,A7,9,7,3,n,ww,VR,IR,SB,70,f,0.998034
28,0.997917,2,47,80,24.000004,0.855357,8,1.997917,1.7125,0.997917,0.855357,-1.714286,0,0,11,2,19,10,1,4,D7,2,7,9,n,ww,IR,SB,VR,70,i,1.160534
28,0.997917,5,57,80,24.000004,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0,0,9,2,-10,5,1,2,D7,2,7,7,y,ww,SB,VR,SA,70,m,0.960534
28,0.997917,7,62,80,24.000004,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,2,2,-5,-16,1,5,D7,2,7,0,y,ww,VR,SA,VR,70,f,0.960534
29,0.997917,4,46,80,24.857147,0.855357,8,0.997917,0.855357,0.997917,0.855357,-0.857143,0,1,10,2,16,10,1,3,B7,11,7,1,n,ww,SA,VR,R,70,i,1.285534
29,0.997917,3,56,80,24.857147,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0,1,8,2,-10,6,1,1,B7,11,7,3,n,ww,VR,R,VP,70,m,1.210534
29,0.997917,6,62,80,24.857147,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0.857143,1,2,2,-6,-11,1,5,B7,11,7,9,n,ww,R,VP,VR,70,f,1.135534
30,0.997917,3,51,80,25.71429,0.855357,8,0.997917,0.855357,0.997917,0.855357,-0.857143,0,2,3,2,11,4,1,4,E7,4,7,1,n,ww,VP,VR,VR,70,i,1.023034
30,0.997917,4,55,80,25.71429,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0,2,7,2,-4,7,1,0,E7,4,7,3,n,ww,VR,VR,IR,70,m,0.985534
30,0.997917,5,62,80,25.71429,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0.857143,2,2,2,-7,-18,1,5,E7,4,7,2,n,ww,VR,IR,SB,70,f,0.985534
31,0.997917,3,44,80,26.571433,0.855357,8,0.997917,0.855357,0.997917,0.855357,-0.857143,0,3,8,2,18,10,1,1,A7,9,7,1,n,ww,IR,SB,VR,70,i,1.185534
31,0.997917,7,54,80,26.571433,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0,3,6,2,-10,5,1,1,A7,9,7,3,n,ww,SB,VR,IR,70,m,1.210534
31,0.997917,7,59,80,26.571433,0.855357,8,0.997917,0.855357,0.997917,0.855357,0,0.857143,3,11,2,-5,-16,1,4,A7,9,7,2,n,ww,VR,IR,P,70,f,1.210534
32,0.997917,6,43,80,27.428576,0.855357,9,0.997917,0.855357,0.997917,0.855357,-0.857143,0,0,7,3,16,11,1,0,G6,7,6,0,y,ww,IR,P,P,70,i,1.073034
32,0.997917,5,54,80,27.428576,0.855357,9,0.997917,0.855357,0.997917,0.855357,0,0,0,6,3,-11,5,1,1,G6,7,6,1,n,ww,P,P,SB,70,m,0.948034
32,0.997917,4,59,80,27.428576,0.855357,9,0.997917,0.855357,0.997917,0.855357,0,0,0,11,3,-5,3,1,4,G6,7,6,4,y,ww,P,SB,VR,70,m,1.035534
32,0.997917,3,62,80,27.428576,0.855357,9,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,2,3,-3,5,1,5,G6,7,6,5,n,ww,SB,VR,SA,70,m,0.948034
33,0.997917,4,67,80,28.285719,0.855357,9,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1,7,0,-5,-21,1,0,G6,7,6,0,y,ww,VR,SA,IR,70,f,0.935534
34,1.497917,5,46,80,29.142862,1.283929,9,0.997917,0.855357,1.497917,1.283929,-0.857143,0,2,10,3,21,9,1,3,Bb7,11,7,1,n,ww,SA,IR,P,70,i,1.048034
34,1.497917,7,55,80,29.142862,1.283929,9,1.497917,1.283929,1.497917,1.283929,0,0,2,7,3,-9,6,1,0,Bb7,11,7,4,y,ww,IR,P,SB,70,m,0.910534
34,1.497917,5,61,80,29.142862,1.283929,9,1.497917,1.283929,1.497917,1.283929,0,0,2,1,3,-6,2,1,6,Bb7,11,7,10,y,ww,P,SB,VR,70,m,0.985534
34,1.497917,7,63,80,29.142862,1.283929,9,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,3,3,-2,1,1,4,Bb7,11,7,8,n,ww,SB,VR,IR,70,f,0.948034
35.5,0.497917,4,64,80,30.428577,0.426786,9,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428572,3.5,4,0,-1,-19,1,3,Eb7,4,7,0,y,ww,VR,IR,P,70,i,1.023034
36,0.997917,4,45,80,30.857148,0.855357,10,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,9,3,19,10,1,2,A7,9,7,0,y,ww,IR,P,P,70,i,0.910534
36,0.997917,5,55,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0,0,7,3,-10,5,1,0,A7,9,7,2,n,ww,P,P,SB,70,m,1.073034
36,0.997917,6,60,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0,0,0,3,-5,4,1,7,A7,9,7,9,n,ww,P,SB,VR,70,m,1.023034
36,0.997917,5,64,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,4,3,-4,5,1,3,A7,9,7,5,n,ww,SB,VR,SA,70,m,0.973034
37,0.997917,7,69,80,31.714291,0.855357,10,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1,9,0,-5,-22,1,2,A7,9,7,0,y,ww,VR,SA,IR,70,f,1.073034
38,1.497917,4,47,80,32.571434,1.283929,10,0.997917,0.855357,1.497917,1.283929,-0.857143,0,2,11,3,22,10,1,4,B7,11,7,0,y,ww,SA,IR,P,70,i,1.048034
38,1.497917,7,57,80,32.571434,1.283929,10,1.497917,1.283929,1.497917,1.283929,0,0,2,9,3,-10,6,1,2,B7,11,7,2,n,ww,IR,P,SB,70,m,0.948034
38,1.497917,5,63,80,32.571434,1.283929,10,1.497917,1.283929,1.497917,1.283929,0,0,2,3,3,-6,2,1,4,B7,11,7,8,n,ww,P,SB,VR,70,m,0.973034
38,1.497917,4,65,80,32.571434,1.283929,10,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,5,3,-2,1,1,2,B7,11,7,6,n,ww,SB,VR,IR,70,f,0.973034
39.5,0.497917,3,66,80,33.857149,0.426786,10,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428572,3.5,6,0,-1,-14,1,1,B7,11,7,5,n,ww,VR,IR,P,70,i,0.973034
40,0.997917,2,52,80,34.28572,0.855357,11,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,4,3,14,7,1,3,E,4,mayor,0,n,ww,IR,P,P,70,m,0.985534
40,0.997917,4,59,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0,0,11,3,-7,3,1,4,E,4,mayor,7,n,ww,P,P,IP,70,m,0.948034
40,0.997917,3,62,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0,0,2,3,-3,5,1,5,E,4,mayor,2,n,ww,P,IP,VP,70,m,0.985534
40,0.997917,7,67,80,34.28572,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,7,3,-5,4,1,0,E,4,mayor,3,n,ww,IP,VP,VR,70,m,1.085534
41,0.997917,5,71,80,35.142863,0.855357,11,0.997917,0.855357,0.497917,0.426786,-0.857143,0.857143,1,11,0,-4,-3,1,4,E,4,mayor,7,n,ww,VP,VR,IR,70,m,1.085534
42,0.497917,4,68,80,36.000006,0.426786,11,0.997917,0.855357,0.997917,0.855357,-0.857143,0,2,8,0,3,-14,1,1,A7,9,7,1,n,ww,VR,IR,P,70,m,1.085534
42,0.997917,3,54,80,36.000006,0.855357,11,0.497917,0.426786,0.997917,0.855357,0,0,2,6,2,14,6,1,1,A7,9,7,3,n,ww,IR,P,P,70,m,0.960534
42,0.997917,3,60,80,36.000006,0.855357,11,0.997917,0.855357,0.997917,0.855357,0,0,2,0,2,-6,4,1,7,A7,9,7,9,n,ww,P,P,P,70,m,0.948034
42,0.997917,4,64,80,36.000006,0.855357,11,0.997917,0.855357,0.497917,0.426786,0,0.428572,2,4,2,-4,5,1,3,A7,9,7,5,n,ww,P,P,P,70,m,1.085534
42.5,0.497917,6,69,80,36.428578,0.426786,11,0.997917,0.855357,0.497917,0.426786,-0.428572,0.428572,2.5,9,0,-5,2,1,2,A7,9,7,0,y,ww,P,P,SB,70,m,1.185534
43,0.497917,5,71,80,36.857149,0.426786,11,0.497917,0.426786,0.497917,0.426786,-0.428572,0.428572,3,11,0,-2,1,1,4,C6,0,6,11,n,ww,P,SB,VR,70,m,1.023034
43.5,0.497917,7,72,80,37.285721,0.426786,11,0.497917,0.426786,0.997917,0.855357,-0.428572,0.428572,3.5,0,0,-1,2,1,7,C6,0,6,0,y,ww,SB,VR,IR,70,m,1.023034
44,0.997917,4,74,80,37.714292,0.855357,12,0.497917,0.426786,1.997917,1.7125,-0.428572,0,0,2,3,-2,-15,1,5,B7,11,7,9,n,ww,VR,IR,VP,70,m,0.960534
44,1.997917,3,59,80,37.714292,1.7125,12,0.997917,0.855357,1.997917,1.7125,0,0,0,11,4,15,6,1,4,B7,11,7,0,y,ww,IR,VP,VR,70,m,0.885534
44,1.997917,2,65,80,37.714292,1.7125,12,1.997917,1.7125,1.997917,1.7125,0,0,0,5,4,-6,4,1,2,B7,11,7,6,n,ww,VP,VR,VR,70,m,1.148034
44,1.997917,6,69,80,37.714292,1.7125,12,1.997917,1.7125,0.997917,0.855357,0,0.857143,0,9,4,-4,7,1,2,B7,11,7,2,n,ww,VR,VR,IR,70,m,1.010534
45,0.997917,7,76,80,38.571435,0.855357,12,1.997917,1.7125,1.997917,1.7125,-0.857143,0.857143,1,4,3,-7,-20,1,3,B7,11,7,7,y,ww,VR,IR,P,70,f,0.985534
46,1.997917,4,56,80,39.428578,1.7125,12,0.997917,0.855357,1.997917,1.7125,-0.857143,0,2,8,4,20,6,1,1,B5,11,5,3,n,ww,IR,P,SB,70,i,0.898034
46,1.997917,5,62,80,39.428578,1.7125,12,1.997917,1.7125,1.997917,1.7125,0,0,2,2,4,-6,4,1,5,B5,11,5,9,n,ww,P,SB,R,70,m,0.960534
46,1.997917,3,66,80,39.428578,1.7125,12,1.997917,1.7125,1.997917,1.7125,0,0,2,6,4,-4,5,1,1,B5,11,5,5,n,ww,SB,R,VP,70,m,0.885534
46,1.997917,3,71,80,39.428578,1.7125,12,1.997917,1.7125,1.497917,1.283929,0,0.428571,2,11,4,-5,-31,1,4,B5,11,5,0,n,ww,R,VP,IR,70,f,0.885534
46.5,1.497917,4,40,80,39.85715,1.283929,12,1.997917,1.7125,1.997917,1.7125,-0.428571,1.285715,2.5,4,4,31,5,1,3,B5,11,5,7,n,ww,VP,IR,IP,70,i,0.985534
48,1.997917,6,45,80,41.142864,1.7125,13,1.497917,1.283929,0.997917,0.855357,-1.285715,0.857143,0,9,2,-5,26,1,2,A7,9,7,0,y,ww,IR,IP,P,70,f,0.985534
49,0.997917,5,71,80,42.000007,0.855357,13,1.997917,1.7125,0.997917,0.855357,-0.857143,0,1,11,2,-26,3,1,4,A7,9,7,2,n,ww,IP,P,IP,70,i,1.085534
49,0.997917,6,74,80,42.000007,0.855357,13,0.997917,0.855357,0.497917,0.426786,0,0.857143,1,2,2,-3,-2,1,5,A7,9,7,7,y,ww,P,IP,IP,70,f,1.085534
